event_timestamp,provider,model,request_id,user_id,project_id,team_name,workflow_name,agent_name,request_count,input_tokens,output_tokens,total_tokens,estimated_cost,latency_ms,status,environment
2026-06-09T14:08:27.237827,Vertex AI,Gemini-on-Vertex,3b4bdf9c-162b-434a-a705-65da40655aac,user-31,developer-portal,Platform,Root Cause Analysis,Incident Agent,1,575,3492,4067,0.04067,4541,success,prod
2026-06-22T00:44:27.237842,GitHub Copilot,Copilot-Chat,97d93b3c-7126-4e2b-b2fc-b2030576d26d,user-15,aiopsvista,Product Engineering,Incident Analysis,Incident Agent,1,4194,3118,7312,0.07312,3888,success,prod
2026-06-27T19:08:27.237857,GitHub Copilot,Copilot-Chat,7dc4578e-2cb8-4b48-9dc9-ccf534b51b4e,user-10,developer-portal,SRE,Documentation,FinOps Agent,1,7209,3729,10938,0.10938,1161,success,prod
2026-06-08T06:44:27.237871,Gemini,Gemini-2.5-Flash,9c975b15-82bd-4f6d-8de1-07fdd5519ca3,user-42,aiopsvista,Product Engineering,Code Review,FinOps Agent,1,3181,1604,4785,0.04785,2025,error,stage
2026-06-13T21:16:27.237886,GitHub Copilot,Copilot-Chat,a539dbdd-7544-4a27-9f92-ab88e20ad793,user-31,rag-platform,Product Engineering,Documentation,Support Agent,1,3344,178,3522,0.03522,1669,success,prod
2026-06-07T10:08:27.237900,Anthropic,Claude-4-Sonnet,f3972dbf-c5fb-4df0-9d3c-27dbe4a542cf,user-13,rag-platform,SRE,Knowledge Search,Support Agent,1,1697,2965,4662,0.04662,4582,success,stage
2026-05-31T01:47:27.237914,GitHub Copilot,Copilot-Chat,531eda9e-670a-47b4-ba0d-bec7711f25b7,user-1,rag-platform,Product Engineering,Documentation,FinOps Agent,1,1004,530,1534,0.01534,518,success,dev
2026-06-30T00:50:27.237928,OpenAI,GPT-4.1,7bebee41-28b9-4fab-bb17-9c08bec09393,user-14,rag-platform,Data Engineering,Code Review,FinOps Agent,1,7665,1364,9029,0.09029,326,success,prod
2026-06-27T19:57:27.237942,Vertex AI,Gemini-on-Vertex,26074ba7-a38f-4659-ac54-9163fdf96b6e,user-45,incident-platform,Data Engineering,Code Review,FinOps Agent,1,4819,2318,7137,0.07137,3863,success,prod
2026-06-14T20:03:27.237956,GitHub Copilot,Copilot-Chat,9f86c68b-f97c-4699-b4fe-f077160a56ad,user-47,incident-platform,Product Engineering,Customer Support,FinOps Agent,1,108,613,721,0.00721,1887,success,prod
2026-06-17T14:12:27.237970,OpenAI,GPT-4.1,047d7203-1271-498b-b64b-aa96e2e6c4f4,user-41,incident-platform,Security,Root Cause Analysis,Code Assistant,1,2960,3481,6441,0.06441,3768,success,stage
2026-06-14T14:08:27.237985,Vertex AI,Gemini-on-Vertex,ad36b79f-4e71-4415-a2be-eb1af07ec767,user-12,incident-platform,SRE,Documentation,FinOps Agent,1,5155,2608,7763,0.07763,2632,success,dev
2026-06-26T21:21:27.238006,Anthropic,Claude-4-Sonnet,b233e42b-7657-4e95-bda7-20de15fc18ff,user-43,incident-platform,Security,Incident Analysis,Platform Agent,1,5445,3727,9172,0.09172,4041,success,prod
2026-06-28T14:03:27.238022,GitHub Copilot,Copilot-Chat,29b20013-deed-4cbc-9556-de4a954ce1e4,user-16,aiopsvista,Platform,Code Review,FinOps Agent,1,2099,3607,5706,0.05706,3709,success,prod
2026-06-02T01:46:27.238040,GitHub Copilot,Copilot-Chat,eb5828b3-c60c-4183-899d-db3a32c67786,user-36,aiopsvista,Customer Support,Code Review,Incident Agent,1,5768,687,6455,0.06455,873,success,prod
2026-06-14T23:13:27.238055,Vertex AI,Gemini-on-Vertex,7d0dd683-ee85-488b-9040-087f60fa2ce2,user-50,developer-portal,Data Engineering,CI/CD Assistant,Security Agent,1,4216,1871,6087,0.06087,1637,success,stage
2026-06-13T00:34:27.238070,OpenAI,GPT-4.1,b20483f2-40ea-46fd-a303-39c5bc6c7ef8,user-4,developer-portal,Platform,Knowledge Search,Code Assistant,1,1593,2658,4251,0.04251,4930,success,prod
2026-06-15T11:21:27.238084,Gemini,Gemini-2.5-Flash,ec08d475-416a-4805-b7e2-f60ab55fd546,user-18,developer-portal,Platform,Customer Support,Incident Agent,1,3477,1624,5101,0.05101,657,success,stage
2026-06-30T08:22:27.238099,Anthropic,Claude-4-Sonnet,261ac29c-7330-4ea0-b207-f3f75b639175,user-48,incident-platform,SRE,Knowledge Search,Platform Agent,1,5366,365,5731,0.05731,4569,success,prod
2026-05-30T13:17:27.238115,Anthropic,Claude-4-Sonnet,fc1ccacc-3253-4fba-be3a-e655bde61b49,user-3,security-copilot,Platform,Customer Support,Support Agent,1,3551,2380,5931,0.05931,4553,success,prod
2026-06-16T22:01:27.238130,Anthropic,Claude-4-Sonnet,0f277514-a6ed-4504-99c7-276d2f3b7f0c,user-13,rag-platform,Security,Code Review,Support Agent,1,5077,213,5290,0.0529,1461,success,prod
2026-06-10T16:14:27.238145,Gemini,Gemini-2.5-Pro,edae47ed-c26d-43e0-b01d-a1087fb3b494,user-9,rag-platform,Platform,Root Cause Analysis,Code Assistant,1,7054,2534,9588,0.09588,1322,success,prod
2026-06-02T16:55:27.238160,Gemini,Gemini-2.5-Flash,dcf17012-82f0-4230-b3dc-8f1bdd6341d0,user-39,incident-platform,Product Engineering,Incident Analysis,Code Assistant,1,5681,2901,8582,0.08582,661,success,stage
2026-06-02T06:35:27.238175,Gemini,Gemini-2.5-Pro,6975cc0c-b269-4997-b89f-0a70950fa36d,user-7,security-copilot,SRE,Root Cause Analysis,FinOps Agent,1,1899,1258,3157,0.03157,3042,success,prod
2026-06-08T20:41:27.238193,Anthropic,Claude-4-Sonnet,df80f856-1ce8-4aca-9c77-115ea6511d10,user-17,support-assistant,Data Engineering,Documentation,Security Agent,1,4981,2850,7831,0.07831,4456,success,stage
2026-06-26T05:39:27.238209,Gemini,Gemini-2.5-Pro,c5ba7643-1b50-4dde-9960-ce7313551498,user-5,aiopsvista,Data Engineering,Documentation,Support Agent,1,616,3743,4359,0.04359,2679,success,prod
2026-06-09T21:08:27.238224,Gemini,Gemini-2.5-Pro,2d8a1fc9-e25a-483c-911e-8993b58ef848,user-2,security-copilot,Customer Support,Customer Support,Security Agent,1,5954,1757,7711,0.07711,1532,success,prod
2026-06-06T13:21:27.238239,OpenAI,GPT-4.1,7d037799-39b7-4397-8bbc-0ad4ff0cbe28,user-8,rag-platform,Customer Support,Incident Analysis,Code Assistant,1,1954,2402,4356,0.04356,3160,success,prod
2026-06-23T13:28:27.238254,OpenAI,GPT-4.1,1344ae03-ecc4-4883-b740-f56e9d1c4e02,user-26,security-copilot,Customer Support,Code Review,Security Agent,1,5090,3378,8468,0.08468,2559,success,dev
2026-06-15T02:44:27.238268,OpenAI,GPT-4o,27625c03-afc9-4069-9b2c-c7a32e738cf6,user-35,aiopsvista,Product Engineering,Root Cause Analysis,Platform Agent,1,5394,2306,7700,0.077,4372,success,prod
2026-06-11T19:10:27.238283,Vertex AI,Gemini-on-Vertex,c28adeef-d182-4be4-9ba6-a829869d04ab,user-19,support-assistant,Platform,Documentation,Incident Agent,1,1549,607,2156,0.02156,4931,success,prod
2026-06-12T10:18:27.238382,Anthropic,Claude-4-Sonnet,cc2afb1f-99fb-427b-b641-c27bc39219e4,user-14,aiopsvista,Product Engineering,Documentation,Code Assistant,1,7761,3739,11500,0.115,1842,success,dev
2026-06-12T08:24:27.238414,OpenAI,GPT-4o,871b1de2-0936-4061-813c-4496c22eaf38,user-28,support-assistant,SRE,Documentation,Code Assistant,1,4658,1397,6055,0.06055,3227,success,prod
2026-06-23T22:48:27.238435,Vertex AI,Gemini-on-Vertex,b9fd9353-8d20-4f0b-b368-99cc7d9810a9,user-25,security-copilot,SRE,Customer Support,Code Assistant,1,5799,2746,8545,0.08545,1835,success,prod
2026-05-30T10:11:27.238453,Vertex AI,Gemini-on-Vertex,42470ef8-ed06-4ef0-b30a-8baebb0a0662,user-28,support-assistant,SRE,Code Review,FinOps Agent,1,7747,2114,9861,0.09861,1969,error,stage
2026-06-05T17:02:27.238469,Vertex AI,Gemini-on-Vertex,29586950-551c-4255-b13e-1ace7c422f38,user-46,developer-portal,Data Engineering,Documentation,Platform Agent,1,4314,1153,5467,0.05467,4832,success,prod
2026-06-14T20:12:27.238485,Gemini,Gemini-2.5-Flash,4200d4fe-8d8e-4efc-8dae-91d53fc71ed3,user-5,security-copilot,Security,Code Review,Incident Agent,1,5866,1069,6935,0.06935,4038,success,prod
2026-06-21T08:41:27.238501,OpenAI,GPT-4o,f4600a81-995d-4591-adbd-b629c5e08b83,user-18,developer-portal,Data Engineering,Incident Analysis,Security Agent,1,5085,354,5439,0.05439,1465,success,stage
2026-05-31T23:33:27.238516,Anthropic,Claude-4-Sonnet,f3328c03-f851-4002-acdc-be00ba3a37cd,user-1,security-copilot,Security,Documentation,Code Assistant,1,4193,169,4362,0.04362,2835,success,dev
2026-06-21T16:58:27.238532,Vertex AI,Gemini-on-Vertex,3db9602b-7ad7-4310-8fa0-26135908cde3,user-34,rag-platform,SRE,Code Review,FinOps Agent,1,2581,2219,4800,0.048,1198,success,stage
2026-06-03T12:30:27.238547,Anthropic,Claude-4-Sonnet,2c401972-263c-4715-927f-276473a7bf1a,user-30,incident-platform,Data Engineering,Knowledge Search,Support Agent,1,4886,181,5067,0.05067,871,success,stage
2026-06-13T21:59:27.238563,Gemini,Gemini-2.5-Flash,05a552dc-3688-4dfc-ae93-45e0e68b6d24,user-29,incident-platform,Security,CI/CD Assistant,Platform Agent,1,3728,1730,5458,0.05458,4271,success,prod
2026-06-04T04:17:27.238578,Anthropic,Claude-4-Sonnet,b60e854e-1e84-4399-872e-62917b64f7a8,user-25,security-copilot,Security,Customer Support,Incident Agent,1,4668,3040,7708,0.07708,1627,success,prod
2026-06-18T09:28:27.238593,OpenAI,GPT-4.1,365a3fe7-c195-4036-9df9-6270c2d08bf9,user-25,aiopsvista,Platform,Documentation,Code Assistant,1,3220,2483,5703,0.05703,1858,success,prod
2026-06-03T20:51:27.238609,Anthropic,Claude-4-Sonnet,0be8e530-bf5e-4d15-bc8f-8c0503fac100,user-37,support-assistant,SRE,Incident Analysis,Code Assistant,1,2460,336,2796,0.02796,3823,success,prod
2026-06-10T15:35:27.238624,OpenAI,GPT-4.1,45f5376b-f0ca-4051-914a-fbbcb2f59270,user-21,security-copilot,Platform,Knowledge Search,Code Assistant,1,599,765,1364,0.01364,998,success,dev
2026-06-23T08:14:27.238639,OpenAI,GPT-4.1,90cc71ab-e3d1-4810-892a-21f747078286,user-6,support-assistant,Platform,Incident Analysis,FinOps Agent,1,6647,1929,8576,0.08576,3380,error,dev
2026-06-18T13:39:27.238654,Anthropic,Claude-4-Sonnet,29cb2935-3d6d-4c5f-82d6-f5841cfe4793,user-11,incident-platform,Customer Support,Root Cause Analysis,Code Assistant,1,6577,1794,8371,0.08371,2735,success,prod
2026-06-10T13:44:27.238670,Anthropic,Claude-4-Sonnet,28ccc5ae-f57a-4cfb-abea-3cb8665f38e3,user-37,security-copilot,Product Engineering,Root Cause Analysis,FinOps Agent,1,6587,3772,10359,0.10359,4158,success,prod
2026-06-07T11:30:27.238685,Gemini,Gemini-2.5-Flash,07b6e34d-9b77-4af2-99f9-a741b588000f,user-6,incident-platform,Customer Support,Code Review,Code Assistant,1,3361,2117,5478,0.05478,4325,success,prod
2026-06-11T09:24:27.238700,OpenAI,GPT-4o,2d8facec-63d3-4f67-a3f8-b3caa1b7f22d,user-36,incident-platform,Platform,Root Cause Analysis,Security Agent,1,4217,2936,7153,0.07153,4078,success,stage
2026-06-09T01:08:27.238715,Gemini,Gemini-2.5-Flash,f495009e-e250-4c8f-9f69-0ac5f21f5d22,user-25,incident-platform,Customer Support,Incident Analysis,Platform Agent,1,1240,2339,3579,0.03579,4040,success,prod
2026-06-20T04:57:27.238729,Anthropic,Claude-4-Sonnet,0d3bfeef-4dc3-40b8-9fa5-d6abdfe5d51e,user-14,developer-portal,Data Engineering,Code Review,Code Assistant,1,4041,757,4798,0.04798,4795,success,prod
2026-06-11T14:47:27.238744,Anthropic,Claude-4-Sonnet,3d01b91a-4758-4044-9472-21919842351f,user-32,developer-portal,Data Engineering,Code Review,Security Agent,1,3381,2842,6223,0.06223,1630,success,prod
2026-06-04T21:24:27.238759,Gemini,Gemini-2.5-Pro,af3283c4-3604-4b69-b9ff-c16fbb731cfd,user-40,incident-platform,Data Engineering,Root Cause Analysis,Code Assistant,1,3247,3537,6784,0.06784,2339,success,prod
2026-06-20T01:43:27.238774,Gemini,Gemini-2.5-Pro,420f35f3-8e6f-48ec-add6-b3e2cd444b14,user-4,rag-platform,Security,Documentation,Incident Agent,1,6368,1968,8336,0.08336,4586,success,prod
2026-06-18T12:36:27.238789,Anthropic,Claude-4-Sonnet,3ffb98c6-7025-4235-bac3-e7f5bfe4efd8,user-50,developer-portal,Product Engineering,CI/CD Assistant,Incident Agent,1,6632,3758,10390,0.1039,2236,rate_limited,prod
2026-06-21T06:52:27.238804,OpenAI,GPT-4o,05a87b44-a496-470a-bdd6-0e8173dff015,user-7,support-assistant,Security,Knowledge Search,Platform Agent,1,2935,3126,6061,0.06061,4831,success,stage
2026-06-20T17:27:27.238819,GitHub Copilot,Copilot-Chat,f6e44f94-5621-44e2-9dc3-c77914d43a93,user-42,developer-portal,Product Engineering,Customer Support,Security Agent,1,6447,1461,7908,0.07908,2776,success,prod
2026-05-30T10:04:27.238834,Anthropic,Claude-4-Sonnet,752fb0a6-715f-43a4-a6e4-3d75e95f8da7,user-27,incident-platform,Data Engineering,Root Cause Analysis,Security Agent,1,273,973,1246,0.01246,3580,success,stage
2026-06-14T04:22:27.238849,GitHub Copilot,Copilot-Chat,fcb6a2a9-27e0-462c-aaf5-a2d23596a394,user-10,aiopsvista,Security,Documentation,Security Agent,1,4177,697,4874,0.04874,2145,success,prod
2026-06-03T15:03:27.238864,OpenAI,GPT-4o,88af2398-6a28-4476-975f-6ce2e08e30ad,user-28,security-copilot,SRE,Knowledge Search,Code Assistant,1,1611,260,1871,0.01871,4641,success,prod
2026-06-17T00:03:27.238879,Anthropic,Claude-4-Sonnet,6e8ae941-77b6-4581-85c0-f2bf76389a32,user-44,support-assistant,SRE,CI/CD Assistant,Code Assistant,1,1944,2211,4155,0.04155,1975,success,prod
2026-06-28T17:33:27.238893,Vertex AI,Gemini-on-Vertex,ad0c0ac1-8085-46b5-9d56-a93cb0cb7ab6,user-15,rag-platform,Data Engineering,Knowledge Search,FinOps Agent,1,2933,868,3801,0.03801,1791,success,prod
2026-06-10T19:30:27.238908,GitHub Copilot,Copilot-Chat,14bac286-f7e4-456e-9425-8df47d31922a,user-48,rag-platform,Platform,Code Review,Code Assistant,1,6585,2660,9245,0.09245,359,success,stage
2026-06-29T21:39:27.238923,Anthropic,Claude-4-Sonnet,5ee33165-c29f-4446-9bad-44677001170c,user-25,support-assistant,Platform,CI/CD Assistant,Code Assistant,1,2595,3421,6016,0.06016,735,success,prod
2026-06-25T05:11:27.238938,OpenAI,GPT-4.1,6f4ef89c-46db-4fa3-8c03-d3f93fd7e7e2,user-21,aiopsvista,Security,Root Cause Analysis,Support Agent,1,3088,2397,5485,0.05485,3925,success,prod
2026-06-02T03:29:27.238952,OpenAI,GPT-4.1,5b159793-e21a-4942-9154-e052c1857700,user-32,support-assistant,Security,Root Cause Analysis,Incident Agent,1,2800,3040,5840,0.0584,1295,success,stage
2026-06-28T23:44:27.238967,Anthropic,Claude-4-Sonnet,ee00d8ad-430b-47c0-b4e2-fbfa0f336239,user-16,rag-platform,Platform,Customer Support,FinOps Agent,1,6111,642,6753,0.06753,667,success,stage
2026-06-10T02:20:27.238981,OpenAI,GPT-4.1,9812eefd-1c8b-4dc2-a683-ba7589d34ed4,user-2,security-copilot,Product Engineering,Knowledge Search,Incident Agent,1,3635,2182,5817,0.05817,3269,success,prod
2026-06-02T09:27:27.238996,Gemini,Gemini-2.5-Pro,dbf054f2-8b70-4a15-90dd-dfd18ea5e512,user-25,incident-platform,Customer Support,Customer Support,FinOps Agent,1,1150,318,1468,0.01468,4970,success,prod
2026-06-18T05:40:27.239011,Anthropic,Claude-4-Sonnet,7f912db9-aa1a-4cab-84d0-23ce97f18ec4,user-38,rag-platform,SRE,Customer Support,Platform Agent,1,1271,1002,2273,0.02273,546,success,stage
2026-06-23T17:37:27.239026,Vertex AI,Gemini-on-Vertex,cbd1e700-122d-4967-b89a-160dfa84e3f8,user-25,developer-portal,Security,Code Review,Platform Agent,1,744,2480,3224,0.03224,3602,rate_limited,prod
2026-06-05T10:15:27.239093,Gemini,Gemini-2.5-Pro,6751499a-5815-4cb5-8b73-ecee9f99a0b0,user-45,incident-platform,Customer Support,Root Cause Analysis,Platform Agent,1,7256,756,8012,0.08012,666,success,prod
2026-06-22T03:57:27.239125,Vertex AI,Gemini-on-Vertex,4f2a7231-9f58-4c2c-9e53-ebe9a45698de,user-23,incident-platform,Customer Support,Documentation,Code Assistant,1,3426,3892,7318,0.07318,3441,success,prod
2026-06-06T20:13:27.239146,Anthropic,Claude-4-Sonnet,2fc4808c-150c-4d0b-9334-c027d19152b5,user-37,support-assistant,Customer Support,Customer Support,Code Assistant,1,2221,272,2493,0.02493,207,success,dev
2026-06-12T17:19:27.239165,Anthropic,Claude-4-Sonnet,0d7a1e1c-eea1-4154-a533-1651da9f90bd,user-9,security-copilot,Security,Knowledge Search,Platform Agent,1,3498,1779,5277,0.05277,2233,success,stage
2026-06-28T21:05:27.239183,OpenAI,GPT-4o,d8997301-d94f-40b3-891f-d87da7a8b075,user-7,developer-portal,Data Engineering,Root Cause Analysis,Code Assistant,1,7571,403,7974,0.07974,3661,success,stage
2026-06-06T03:19:27.239200,Gemini,Gemini-2.5-Pro,de5688eb-8c17-4e43-9fbd-a63df29fa22b,user-3,incident-platform,Customer Support,Documentation,FinOps Agent,1,4236,477,4713,0.04713,1115,success,prod
2026-06-21T18:43:27.239216,Anthropic,Claude-4-Sonnet,5f0be9ba-f29f-48b8-bfd0-568993c0ce4a,user-32,incident-platform,Security,Customer Support,Code Assistant,1,4946,424,5370,0.0537,2262,success,prod
2026-06-01T22:45:27.239232,Anthropic,Claude-4-Sonnet,ec309b91-fdcb-4fc4-80a7-1062a1ecad75,user-32,security-copilot,Security,Knowledge Search,FinOps Agent,1,2665,2028,4693,0.04693,2728,success,stage
2026-06-09T22:13:27.239248,Gemini,Gemini-2.5-Flash,18e6a15f-0d9f-41d8-bc52-2c4375e9fae4,user-33,rag-platform,Data Engineering,Code Review,Support Agent,1,513,2747,3260,0.0326,4985,success,prod
2026-06-19T01:39:27.239264,OpenAI,GPT-4o,00c54f31-7f3d-4fc8-83be-22d5fd3ca52c,user-45,aiopsvista,SRE,Code Review,Security Agent,1,1202,3806,5008,0.05008,3343,success,stage
2026-06-18T07:33:27.239602,GitHub Copilot,Copilot-Chat,732ed7ad-8661-4cbb-8c4c-1bca59b5e1e8,user-39,rag-platform,Customer Support,Root Cause Analysis,Incident Agent,1,2323,53,2376,0.02376,1397,success,prod
2026-06-20T01:13:27.239642,Gemini,Gemini-2.5-Flash,5ea18a7d-8127-4e8a-8bc9-d37564586dba,user-8,security-copilot,Product Engineering,Customer Support,Incident Agent,1,406,543,949,0.00949,4766,success,stage
2026-06-12T12:32:27.239665,OpenAI,GPT-4o,d51cae63-5c32-423a-8799-40a22a88d55f,user-27,rag-platform,Data Engineering,Code Review,Incident Agent,1,380,592,972,0.00972,3167,success,prod
2026-06-15T18:47:27.239684,Gemini,Gemini-2.5-Pro,a4d747ce-bf73-41f4-bfcd-15709193fd5d,user-32,incident-platform,Customer Support,Customer Support,Platform Agent,1,929,2812,3741,0.03741,321,success,dev
2026-06-02T23:44:27.239702,Gemini,Gemini-2.5-Pro,8ad2d7e3-9107-4bf7-befa-ab5b59042c94,user-15,aiopsvista,Customer Support,Documentation,Platform Agent,1,4534,173,4707,0.04707,179,success,stage
2026-06-24T19:11:27.239719,GitHub Copilot,Copilot-Chat,4c92fb0e-b1f2-45d1-be32-2bf660be44fd,user-38,support-assistant,Data Engineering,Incident Analysis,FinOps Agent,1,1361,838,2199,0.02199,4630,success,prod
2026-06-12T13:14:27.239736,GitHub Copilot,Copilot-Chat,d33cd904-e7db-4adb-a6be-db3b06518917,user-45,rag-platform,Product Engineering,Root Cause Analysis,Code Assistant,1,7925,3157,11082,0.11082,1368,success,prod
2026-06-09T05:27:27.239752,GitHub Copilot,Copilot-Chat,ef709493-66b9-4f31-b234-9025abfdf946,user-36,aiopsvista,Security,Incident Analysis,Code Assistant,1,7417,1587,9004,0.09004,925,success,prod
2026-06-29T17:48:27.239769,Gemini,Gemini-2.5-Flash,3ee21891-d4ea-4436-b153-ff09aba00df6,user-1,support-assistant,Data Engineering,Knowledge Search,Incident Agent,1,6546,397,6943,0.06943,4364,success,prod
2026-06-21T01:42:27.239785,Vertex AI,Gemini-on-Vertex,47cfa877-bf52-4bd1-929f-2f9e78acb18a,user-19,developer-portal,Data Engineering,Customer Support,Incident Agent,1,467,699,1166,0.01166,333,success,prod
2026-06-05T12:33:27.239801,Gemini,Gemini-2.5-Flash,3a908254-4dbb-42e5-896b-6899641e08ea,user-49,support-assistant,Security,Knowledge Search,Security Agent,1,6787,1782,8569,0.08569,4932,success,prod
2026-06-24T11:00:27.239818,Anthropic,Claude-4-Sonnet,6a29b799-e536-44c4-bf14-c855a514f9de,user-23,aiopsvista,Platform,Documentation,Support Agent,1,6856,364,7220,0.0722,1675,success,dev
2026-06-02T21:40:27.239834,Gemini,Gemini-2.5-Pro,243d6da5-81e4-4f8e-b228-75c9283befc6,user-21,rag-platform,Platform,Knowledge Search,FinOps Agent,1,4720,2283,7003,0.07003,4273,success,stage
2026-06-15T13:19:27.239850,OpenAI,GPT-4.1,fa010f7f-3673-469b-b65b-25f03e6a2f56,user-11,support-assistant,Customer Support,CI/CD Assistant,Security Agent,1,3758,3502,7260,0.0726,3887,success,stage
2026-05-30T23:13:27.239866,Vertex AI,Gemini-on-Vertex,02df912f-44b6-45bc-8f1e-ba39bb0e82e5,user-27,aiopsvista,Product Engineering,Code Review,FinOps Agent,1,4486,3237,7723,0.07723,1893,success,prod
2026-06-23T08:54:27.239882,GitHub Copilot,Copilot-Chat,9733fa64-e106-451b-b6fd-3c30b2be8fdc,user-12,incident-platform,Customer Support,Documentation,Security Agent,1,4613,973,5586,0.05586,4746,success,prod
2026-06-12T21:25:27.239913,Vertex AI,Gemini-on-Vertex,860e79bd-9003-4ae3-9c61-7c8c855be3d9,user-24,support-assistant,Data Engineering,CI/CD Assistant,Incident Agent,1,7156,870,8026,0.08026,4192,success,prod
2026-06-23T04:00:27.239959,Gemini,Gemini-2.5-Pro,a4f71a6a-7534-4f78-92ef-27700d51e1e3,user-30,developer-portal,Product Engineering,Documentation,FinOps Agent,1,3348,1568,4916,0.04916,1023,success,prod
2026-06-01T03:49:27.239990,OpenAI,GPT-4.1,937ad9d8-3510-41ec-aabe-970124c4a00b,user-40,developer-portal,SRE,Knowledge Search,Platform Agent,1,1307,2761,4068,0.04068,2259,success,dev
2026-06-01T21:23:27.240010,GitHub Copilot,Copilot-Chat,3a4bd758-f281-4396-8702-d35a46406870,user-34,aiopsvista,Data Engineering,CI/CD Assistant,FinOps Agent,1,3866,3937,7803,0.07803,4187,success,prod
2026-06-29T11:38:27.240028,OpenAI,GPT-4o,bd1b4c54-65c6-4fe4-8059-58e95df58b10,user-45,rag-platform,Product Engineering,Customer Support,Incident Agent,1,1152,1016,2168,0.02168,1277,success,prod
2026-06-04T15:40:27.240045,Vertex AI,Gemini-on-Vertex,c715d7ba-64f2-4dd5-b93f-0d04ec9d3763,user-8,rag-platform,Customer Support,Incident Analysis,Security Agent,1,414,86,500,0.005,874,success,stage
2026-06-25T13:48:27.240062,Gemini,Gemini-2.5-Flash,5157b8ee-eeb2-4539-8598-b356f6701427,user-20,support-assistant,Product Engineering,Incident Analysis,Support Agent,1,7940,3087,11027,0.11027,4034,success,prod
2026-06-06T17:51:27.240078,GitHub Copilot,Copilot-Chat,8ce22e69-8948-4ea1-acee-116787d8f48f,user-9,aiopsvista,Data Engineering,Knowledge Search,FinOps Agent,1,1484,134,1618,0.01618,3173,success,prod
2026-06-24T14:20:27.240095,OpenAI,GPT-4.1,6ab20278-dd07-41b8-8b1a-15f2e247c1ec,user-47,developer-portal,SRE,Root Cause Analysis,Support Agent,1,2266,1379,3645,0.03645,1175,success,stage
2026-05-30T22:23:27.240111,Anthropic,Claude-4-Sonnet,6a404fc4-668a-42c0-bd05-5fd3b4fac17b,user-46,aiopsvista,SRE,Incident Analysis,Security Agent,1,4724,1658,6382,0.06382,1897,success,prod
2026-06-28T19:49:27.240128,Gemini,Gemini-2.5-Pro,103cd83f-8ad9-4512-83be-922dbee20972,user-24,support-assistant,Security,Incident Analysis,Code Assistant,1,3423,3096,6519,0.06519,4197,success,stage
2026-06-01T06:02:27.240145,Gemini,Gemini-2.5-Pro,adb0d188-448d-4511-8adf-0f2f49ed9f0d,user-42,incident-platform,SRE,Customer Support,Support Agent,1,3875,821,4696,0.04696,2386,success,prod
2026-06-15T16:12:27.240162,GitHub Copilot,Copilot-Chat,f0a7f0da-82b0-48f1-ad48-9f8e96eec3c1,user-7,aiopsvista,Customer Support,Incident Analysis,Platform Agent,1,1343,1670,3013,0.03013,3807,success,prod
